CLAVE,PSS/E,ID,SCL,FP,FEO,GCR,REGION,ZONA PDS,NOMBRE SUBESTACION,NODO,V1/V21/,NB / RMU2/,CAPACIDAD3/,NC4/
OCCIDENTAL1,31514,I1,0,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,JABIL CIRCUIT DE MEXICO S DE RL DE CV,JBL-69,69,441971211012,6.5,
OCCIDENTAL2,31521,I1,0,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,NYPRO KANAAK GUAD SA DE CV,NKA-69,69,441000507993,2.478,
OCCIDENTAL3,31522,I1,0,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,PARQUE DE TECNOLOGIA ELEC SA DE CV,PTE-69,69,432990304006,15.5,
OCCIDENTAL4,31717,I1,0,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,TRATADORA DE AGUAS DE ZAPOPAN (RENOVA ATLATEC),RAE-69,69,506140207323,9.736,
OCCIDENTAL5,31525,I1,0,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,UNIVERSIDAD AUTONOMA DE GUADALAJARA,UAG-69,69,504961204346,1.7,
OCCIDENTAL6,36141,OC,0,1,2019,OCC,JAL,METROPOLITANA HIDALGO,"EGISMEX, S. DE R.L. DE C.V. (LINEA 3 DEL TREN LIGERO TUZANIA)",L3Z-230,230,45402180716STE890114031CCA,16.2,
OCCIDENTAL7,31515,AM,1,0.95,2025,OCC,JAL,METROPOLITANA HIDALGO,AMORTIGUAMIENTO OC,MOJ-69,69/69,,11,
OCCIDENTAL8,313752,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,ZAPOPAN,ZPA-230,230/23,2,60,5
OCCIDENTAL9,313753,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,ZAPOPAN,ZPA-230,230/23,3,60,5
OCCIDENTAL10,317771,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,GUADALAJARA NORTE,GUN-230,230/23,1,60,7
OCCIDENTAL11,315771,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,TUZANIA,TUZ-230,230/23,1,60,8
OCCIDENTAL12,3114,OC,1,0.95,2021,OCC,JAL,METROPOLITANA HIDALGO,TUZANIA,TUZ-230,230/23,2,60,
OCCIDENTAL13,315271,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,ZOQUIPAN,ZQP-69,69/23,1,40,9
OCCIDENTAL14,315272,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,ZOQUIPAN,ZQP-69,69/23,2,40,9
OCCIDENTAL15,315271,OC,1,0.95,2025,OCC,JAL,METROPOLITANA HIDALGO,ZOQUIPAN,ZQP-69,69/23,3,40,
OCCIDENTAL16,315031,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,ALAMEDA,ALA-69,69/23,1,40,5
OCCIDENTAL17,315032,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,ALAMEDA,ALA-69,69/23,2,40,5
OCCIDENTAL18,315151,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,MOJONERA,MOJ-69,69/23,1,40,9
OCCIDENTAL19,315152,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,MOJONERA,MOJ-69,69/23,2,40,9
OCCIDENTAL20,315181,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,MEXICO,MXJ-69,69/23,1,40,10
OCCIDENTAL21,315182,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,MEXICO,MXJ-69,69/23,2,40,10
OCCIDENTAL22,315091,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,EXPERIENCIA,EXP-69,69/23,1,40,4
OCCIDENTAL23,315092,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,EXPERIENCIA,EXP-69,69/23,2,40,9
OCCIDENTAL24,315231,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,PINAR,PNR-69,69/23,1,40,6
OCCIDENTAL25,3093,OC,1,0.95,2020,OCC,JAL,METROPOLITANA HIDALGO,PINAR,PNR-69,69/23,2,40,
OCCIDENTAL26,315001,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,ACUEDUCTO,ACU-69,69/23,1,40,6
OCCIDENTAL27,315002,1,1,0.95,2019,OCC,JAL,METROPOLITANA HIDALGO,ACUEDUCTO,ACU-69,69/23,2,40,6
OCCIDENTAL28,315331,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,ANDARES,ADS-69,69/23,1,30,7
OCCIDENTAL29,,OC,1,0.95,2034,OCC,JAL,METROPOLITANA HIDALGO,ANDARES,ADS-69,69/23,1,40,
OCCIDENTAL30,315331,2,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,ANDARES,ADS-69,69/23,2,30,7
OCCIDENTAL31,0,OC,1,0.95,2037,OCC,JAL,METROPOLITANA HIDALGO,AMERICAS,AMS-69,69/23,1,40,
OCCIDENTAL32,0,OC,1,0.95,#N/D,OCC,JAL,METROPOLITANA HIDALGO,MIRASIERRA,MSR-230,230/23,1,60,
OCCIDENTAL33,31465,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,UVM EDUCACION SC,UVM-69,69,435140311347,1.5,
OCCIDENTAL34,31508,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,PACTIV FOODSERVICE MEX S DE RL DE CV (JAGUAR),CBO-69,69,504900200569,10.14,
OCCIDENTAL35,31430,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,FLEXTRONICS TECHNOLOGIES S DE RL DE CV,SLT-69,69,435000405236,10,
OCCIDENTAL36,31313,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,CEMEX MEXICO SA DE CV (GUADALAJARA),CMX-69,69,443961202476,25,
OCCIDENTAL37,31342,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,PRAXAIR MEXICO S DE RL DE CV,PRA-69,69,443961202492,13,
OCCIDENTAL38,31462,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,MOTFOUR SAPI DE CV(KODAK),KDK-69,69,444961208471,12.166,
OCCIDENTAL39,31308,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,ALMIDONES MEXICANOS SA DE CV,AMX-69,69,443100401559,13.573,
OCCIDENTAL40,31341,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,CERVECERIA MODELO GUAD S DE RL DE CV,MOD-69,69,438990304586,8.1,
OCCIDENTAL41,31526,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,VITRO VIGUSA S. R. L. DE C.V. (VIDRIERA GUADALAJARA SA DE CV),VID-69,69,504050906157,8.781,
OCCIDENTAL42,31461,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,PM CIGATAM PS S DE RL DE CV,CIG-69,69,444990806166,4.398,
OCCIDENTAL43,31429,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,SIEMENS SA DE CV,SIE-69,69,435010104005,2.12,
OCCIDENTAL44,31417,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,PROD FARMACEUTICOS COLLINS SA DE CV,CNS-69,69,435030501477,3.012,
OCCIDENTAL45,31464,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,FIDEICOMISO F/00291,SIS-69,69,435120605212,0.5,
OCCIDENTAL46,31460,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,TECHNICOLOR MEXICANA S DE RL DE CV,TNI-69,69,444030310468,13.5,
OCCIDENTAL47,31466,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,BELTICOS SA DE CV 684-1260,BEL-69,69,444910405743,3.65,
OCCIDENTAL48,31361,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,ACEITES GRASAS Y DERIVADOS SA DE CV (AGYDSA),AGY-69,69,504091205031,8.528,
OCCIDENTAL49,31465,I2,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,CONTINENTAL AUTOMOTIVE SA DE CV (PERIFERICO),CAU-69,69,435120605239,3.93,
OCCIDENTAL50,31429,I2,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,FERRO PIEZAS ALANISA SA DE CV,FPA-69,69,435090503681,3.1,
OCCIDENTAL51,31466,I2,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,LIQUIMEX SA DE CV (GUADALAJARA),LIQ-69,69,444111103416,2.235,
OCCIDENTAL52,31332,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,LABORATORIOS PISA SA DE CV,PIS-69,69,44940150901LPI830527014CC,7.56,
OCCIDENTAL53,31429,I3,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,CONTINENTAL AUTOMOTIVE SA DE CV (TIJERA),CAM-69,69,4.35091E+11,5.77,
