CLAVE,NOMBRE SUBESTACION,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
OCCIDENTAL1,JABIL CIRCUIT DE MEXICO S DE RL DE CV,3.88419371,3.913893142,3.950729247,3.991060823,4.029795125,4.029795125,4.029795125,4.029795125,4.029795125,4.029795125,4.029795125,4.029795125,4.029795125,4.029795125,4.029795125,4.029795125,4.029795125,4.029795125,4.029795125,4.029795125,4.029795125,4.029795125
OCCIDENTAL2,NYPRO KANAAK GUAD SA DE CV,0.918245596,0.909617475,0.947735772,0.989573887,1.003749827,1.003749827,1.003749827,1.003749827,1.003749827,1.003749827,1.003749827,1.003749827,1.003749827,1.003749827,1.003749827,1.003749827,1.003749827,1.003749827,1.003749827,1.003749827,1.003749827,1.003749827
OCCIDENTAL3,PARQUE DE TECNOLOGIA ELEC SA DE CV,6.716171004,6.695738776,6.743289283,6.804302666,6.862680984,6.942232896,7.069731155,7.197668377,7.340356811,7.496660404,7.717981191,8.010355456,8.010355456,8.010355456,8.010355456,8.010355456,8.010355456,8.010355456,8.010355456,8.010355456,8.010355456,8.010355456
OCCIDENTAL4,TRATADORA DE AGUAS DE ZAPOPAN (RENOVA ATLATEC),2.618322203,2.693843514,2.775545424,3.03607628,3.320218018,3.642540144,3.904412521,3.904412521,3.904412521,3.904412521,3.904412521,3.904412521,3.904412521,3.904412521,3.904412521,4.843600093,5.051385034,5.257362835,5.521266187,5.782412636,6.051800195,6.051800195
OCCIDENTAL5,UNIVERSIDAD AUTONOMA DE GUADALAJARA,0.57079424,0.59222643,0.624635058,0.649855345,0.649855345,0.649855345,0.649855345,0.649855345,0.649855345,0.649855345,0.649855345,0.649855345,0.649855345,0.649855345,0.649855345,0.649855345,0.649855345,0.649855345,0.649855345,0.649855345,0.649855345,0.649855345
OCCIDENTAL6,EGISMEX S. DE R.L. DE C.V. (LINEA 3 DEL TREN LIGERO TUZANIA),0.087626516,0.367172504,0.444041906,0.500441452,0.556056847,0.608092174,0.704606902,0.80186845,0.901621551,1.004178921,1.117385911,1.23616182,1.359535406,1.484941551,1.626543246,1.739434599,1.739434599,1.739434599,1.739434599,1.739434599,1.739434599,1.739434599
OCCIDENTAL7,AMORTIGUAMIENTO OC,0,0,0,0,0,0,0.972198364,1.952465876,2.946396499,3.958685947,5.027413551,6.140246688,7.29497907,8.478140331,9.773400194,11.11123534,12.51308371,13.95158013,15.59229089,17.28042604,19.04643429,20.88058605
OCCIDENTAL8,ZAPOPAN,20.01541497,19.94020451,17.81721961,17.95100303,18.07814377,18.26128709,18.5705109,18.88067229,19.22926862,19.6131852,20.16660872,20.76980761,21.39949084,22.01450097,22.81733002,23.61192155,24.44517514,25.26169706,26.34713412,27.40869368,28.49897603,29.60563896
OCCIDENTAL9,ZAPOPAN,22.18853512,22.14642947,20.16120097,20.29939456,20.43022533,20.62445382,20.96105908,21.29861839,21.67940887,22.09985176,22.71100376,23.37779929,24.07396194,24.7531832,25.6430719,26.52310378,27.44596899,28.34946104,29.55404016,30.73103548,31.93945853,33.16516545
OCCIDENTAL10,GUADALAJARA NORTE,16.5216131,16.38776437,16.4240502,16.49579656,16.56364461,16.68485117,16.92284135,17.12051831,17.35315483,17.61751376,18.0332176,18.49175966,18.97207077,19.43767849,20.06697956,20.68646279,21.33735633,21.97132011,22.83629428,23.67720963,24.53983216,25.41071705
OCCIDENTAL11,TUZANIA,27.94622564,28.36477754,15.68418367,16.07930283,16.46534137,16.90009767,17.45194885,18.00687282,18.60110057,19.23303282,20.03726011,20.89960545,21.79791099,22.69040602,23.78735369,24.8883126,26.04254487,27.19130762,28.64420065,30.08795586,31.5795736,33.11495
OCCIDENTAL12,TUZANIA,0,0,13.00544933,13.06226197,13.11598772,13.21196562,13.40041909,13.59059044,13.80944349,14.05460596,14.42193709,14.82534924,15.24817079,15.66115273,16.20830714,16.75013088,17.32004027,17.87889846,18.6288719,19.36278235,20.1180161,20.88366907
OCCIDENTAL13,ZOQUIPAN,16.73107887,16.56480812,16.56967219,16.60910012,16.64334122,16.72984146,11.82682993,12.05404934,12.30879349,12.5447934,12.93706887,13.36547329,13.81541517,14.2605532,14.83257109,15.40503891,16.00880788,16.60795063,17.39108713,18.16655283,18.96942673,19.78972955
OCCIDENTAL14,ZOQUIPAN,16.1303759,16.14592399,16.27336948,16.43313643,16.58639825,16.79073143,9.358695584,9.500085032,9.661901704,9.842544238,10.10926327,10.40190655,10.70884706,11.0095723,11.3847414,11.75562671,12.14567909,12.52743654,13.04246734,13.54552637,14.06278512,14.58660354
OCCIDENTAL15,ZOQUIPAN,0,0,0,0,0,0,12.75625809,12.97562237,13.19592375,13.4878632,13.84861364,14.24288839,14.65461862,15.05560766,15.58422092,16.10625241,16.65370654,17.18882485,17.90580824,18.6052884,19.39074724,20.13159864
OCCIDENTAL16,ALAMEDA,7.318210556,7.367631246,7.490023474,7.626448123,7.759145575,7.915217681,8.126057652,8.337941522,8.567564187,8.813946604,9.138259466,9.48763168,9.851793612,10.21184164,10.6621548,11.11226116,11.58418272,12.05174746,12.65184754,13.24534489,13.85744434,14.48462574
OCCIDENTAL17,ALAMEDA,9.70088376,9.710941836,9.818584569,9.945321393,10.06777963,10.22098844,10.44484434,10.66964649,10.91667463,11.18443075,11.55000919,11.94575107,12.35850497,12.76453114,13.28153632,13.79615472,14.33575619,14.86790705,15.56113414,16.2434739,16.9459576,17.66271981
OCCIDENTAL18,MOJONERA,12.22551816,12.31165756,12.57012764,12.85144495,13.07598833,13.38969155,13.79611947,14.20472632,14.64404017,15.11264518,15.76766648,16.41655937,17.09266071,17.8176878,18.64844475,19.53805963,20.47069972,21.400216,22.57047194,23.73509589,24.9504005,26.20404373
OCCIDENTAL19,MOJONERA,10.94821579,11.12392407,9.944420871,10.12251731,10.29570054,10.49992439,10.77679612,11.05502925,11.35675416,11.64684072,12.03906169,12.46310344,12.90530088,13.34087056,13.85579412,14.36704358,12.57087812,13.04665671,13.66425968,14.27284993,14.89967,15.53985148
