CLAVE,NOMBRE SUBESTACION,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
OCCIDENTAL1,JABIL CIRCUIT DE MEXICO S DE RL DE CV,5.495239107,5.588717348,5.685510675,5.788404797,5.893764801,5.893764801,5.893764801,5.893764801,5.893764801,5.893764801,5.893764801,5.893764801,5.893764801,5.893764801,5.893764801,5.893764801,5.893764801,5.893764801,5.893764801,5.893764801,5.893764801,5.893764801
OCCIDENTAL2,NYPRO KANAAK GUAD SA DE CV,2.013025418,2.012642631,2.113412035,2.223942049,2.274783178,2.274783178,2.274783178,2.274783178,2.274783178,2.274783178,2.274783178,2.274783178,2.274783178,2.274783178,2.274783178,2.274783178,2.274783178,2.274783178,2.274783178,2.274783178,2.274783178,2.274783178
OCCIDENTAL3,PARQUE DE TECNOLOGIA ELEC SA DE CV,9.850817678,9.912118958,10.06071451,10.23102143,10.40563209,10.57285686,10.83223669,11.10676439,11.39092056,11.71764122,12.03548511,12.56235181,12.56235181,12.56235181,12.56235181,12.56235181,12.56235181,12.56235181,12.56235181,12.56235181,12.56235181,12.56235181
OCCIDENTAL4,TRATADORA DE AGUAS DE ZAPOPAN (RENOVA ATLATEC),4.864293333,5.051106201,5.245072622,5.782214279,6.376573798,7.026574459,7.577345177,7.577345177,7.577345177,7.577345177,7.577345177,7.577345177,7.577345177,7.577345177,7.577345177,9.729421511,10.22719206,10.75613124,11.15968314,11.35696859,11.55425403,11.55425403
OCCIDENTAL5,UNIVERSIDAD AUTONOMA DE GUADALAJARA,0.779056954,0.815821,0.867206413,0.909266429,0.909266429,0.909266429,0.909266429,0.909266429,0.909266429,0.909266429,0.909266429,0.909266429,0.909266429,0.909266429,0.909266429,0.909266429,0.909266429,0.909266429,0.909266429,0.909266429,0.909266429,0.909266429
OCCIDENTAL6,EGISMEX S. DE R.L. DE C.V. (LINEA 3 DEL TREN LIGERO TUZANIA),0.104096722,0.440239621,0.53657689,0.609452156,0.682880672,0.750090318,0.874405956,1.002189443,1.133226985,1.271260143,1.411282794,1.57016561,1.734337111,1.903754522,2.090504186,2.234249573,2.234249573,2.234249573,2.234249573,2.234249573,2.234249573,2.234249573
OCCIDENTAL7,AMORTIGUAMIENTO OC,0,0,0,0,0,0,1.520068432,3.074483665,4.665797147,6.314172167,8.000138526,9.826480459,11.72489831,13.69443847,15.82607243,17.9815848,20.41066563,22.996324,26,28,30,32
OCCIDENTAL8,ZAPOPAN,28.95976277,29.11906846,26.22266536,26.62587916,27.04010399,27.43496581,28.0684842,28.74041573,29.43637207,30.24129282,31.02220202,32.1315372,33.2487505,34.37473252,35.71734302,36.93888694,38.54542381,40.25171583,42.5456993,45.03520698,47,47.50537634
OCCIDENTAL9,ZAPOPAN,31.08340995,31.31275,28.72915962,29.15197247,29.58675272,30.00026695,30.67453258,31.39038538,32.13206061,32.99219485,33.82561509,35.01646322,36.21504941,37.42235911,38.86458142,40.1741264,41.90133539,43.73572255,46.20710576,48.5,49,49.50515464
OCCIDENTAL10,GUADALAJARA NORTE,30.97763028,31.01222478,31.32438164,31.70690646,32.10522874,32.48334311,33.14619905,33.77208263,34.42431462,35.20158241,35.94829658,37.06562166,37.34361382,37.62369092,37.90586861,38.19016262,38.47658884,38.76516326,39.05590198,39.34882125,39.6439374,39.94126694
OCCIDENTAL11,TUZANIA,50.95496065,52.19875672,29.08919662,30.05490495,31.0354587,31.99596121,33.24083674,34.54194567,35.88335704,37.37084388,38.84284159,40.74459683,42.32,43.32,44.32,45.32,46.32,47.32,48.32,49.32,50.32,51.34027575
OCCIDENTAL12,TUZANIA,0,0,24.12099225,24.41555124,24.72227488,25.01343766,25.52386251,26.07034777,26.63977808,27.30887479,27.95736616,28.90259717,29.60387296,29.89991169,30.19891081,30.50089992,30.80590891,31.113968,31.42510768,31.73935876,32.05675235,32.37731987
OCCIDENTAL13,ZOQUIPAN,23.70761064,23.6901449,23.88274571,24.12652521,24.37970671,24.61491287,17.50640204,17.96974832,18.45314698,18.94301816,19.48987609,20.24961683,21.02176938,21.80721943,22.73862489,23.60199484,24.72134542,25.91620212,27.50315098,29.23275792,30.91472696,33.04287398
