CLAVE,NOMBRE SUBESTACION,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
OCCIDENTAL1,JABIL CIRCUIT DE MEXICO S DE RL DE CV,4.929944761,5.020318652,5.109789619,5.204898545,5.306629195,5.306629195,5.306629195,5.306629195,5.306629195,5.306629195,5.306629195,5.306629195,5.306629195,5.306629195,5.306629195,5.306629195,5.306629195,5.306629195,5.306629195,5.306629195,5.306629195,5.306629195
OCCIDENTAL2,NYPRO KANAAK GUAD SA DE CV,1.678867868,1.680728658,1.765751224,1.859039594,1.90404737,1.90404737,1.90404737,1.90404737,1.90404737,1.90404737,1.90404737,1.90404737,1.90404737,1.90404737,1.90404737,1.90404737,1.90404737,1.90404737,1.90404737,1.90404737,1.90404737,1.90404737
OCCIDENTAL3,PARQUE DE TECNOLOGIA ELEC SA DE CV,9.940796501,10.01564879,10.17081626,10.34822377,10.53871964,10.65469467,10.90981933,11.19886361,11.47558997,11.81736212,12.00363405,12.55311915,12.55311915,12.55311915,12.55311915,12.55311915,12.55311915,12.55311915,12.55311915,12.55311915,12.55311915,12.55311915
OCCIDENTAL4,TRATADORA DE AGUAS DE ZAPOPAN (RENOVA ATLATEC),4.580276711,4.762359087,4.947679357,5.45712694,6.026009779,6.607168246,7.120976395,7.120976395,7.120976395,7.120976395,7.120976395,7.120976395,7.120976395,7.120976395,7.120976395,9.147800981,9.768632489,10.53444512,11.15968314,11.35696859,11.55425403,11.55425403
OCCIDENTAL5,UNIVERSIDAD AUTONOMA DE GUADALAJARA,1.181847261,1.239226533,1.317931101,1.382551176,1.382551176,1.382551176,1.382551176,1.382551176,1.382551176,1.382551176,1.382551176,1.382551176,1.382551176,1.382551176,1.382551176,1.382551176,1.382551176,1.382551176,1.382551176,1.382551176,1.382551176,1.382551176
OCCIDENTAL6,EGISMEX S. DE R.L. DE C.V. (LINEA 3 DEL TREN LIGERO TUZANIA),0.135788341,0.575013754,0.701189612,0.796825017,0.894006612,0.977099387,1.1383847,1.306209222,1.475739264,1.657262502,1.819448299,2.028162208,2.244063309,2.480737758,2.733458511,2.910146422,2.910146422,2.910146422,2.910146422,2.910146422,2.910146422,2.910146422
OCCIDENTAL7,AMORTIGUAMIENTO OC,0,0,0,0,0,0,1.682724026,3.407288634,5.166451904,6.999179073,8.769947471,10.79267333,12.8998448,15.17357622,17.59577527,19.91521205,22,24,26,28,30,32
OCCIDENTAL8,ZAPOPAN,35.57178168,35.81391305,32.26751587,32.78026723,33.33415557,33.65230335,34.40963717,35.27289929,36.09625941,37.12294455,37.66027478,39.08174243,40.50998731,42.1788201,43.97701826,44.5,45,45.5,46,46.5,47,47.50537634
OCCIDENTAL9,ZAPOPAN,38.79460839,39.13160002,35.92061136,36.467717,37.06043394,37.39104378,38.20948506,39.1450505,40.03580732,41.1514715,41.72426192,43.27596807,44.83404857,45.5,46,46.5,47,47.5,48,48.5,49,49.50515464
OCCIDENTAL10,GUADALAJARA NORTE,21.79145894,21.84412824,22.07489788,22.35578382,22.66649485,22.81910403,23.27139214,23.73741663,24.17523556,24.74752359,24.9929014,25.82334663,26.65423627,27.63903119,28.70356267,29.45777205,31.11208667,33.194421,36.02425887,39.34882125,39.6439374,39.94126694
OCCIDENTAL11,TUZANIA,46.90106494,48.10830676,26.82291923,27.72742294,28.66981458,29.40973752,30.53646047,31.76731608,32.97285835,34.37641496,35.33519331,37.13625071,38.96655974,41.0531392,43.2937903,45.0956651,46.32,47.32,48.32,49.32,50.32,51.34027575
OCCIDENTAL12,TUZANIA,0,0,22.24177709,22.52478644,22.83784634,22.9916092,23.44731647,23.97621101,24.47902597,25.12068539,25.43271546,26.34297989,27.25805965,28.33530094,29.49966859,30.34991985,30.80590891,31.113968,31.42510768,31.73935876,32.05675235,32.37731987
OCCIDENTAL13,ZOQUIPAN,25.80005386,25.81453002,26.03725296,26.31634182,26.62758535,26.7504371,19.01429552,19.5394491,20.04797742,20.6021928,20.96245528,21.82134086,22.69228627,23.70705466,24.80464643,25.64715914,27.29042687,29.33511516,32.07443102,32.70474967,33.19682091,33.69627323
OCCIDENTAL14,ZOQUIPAN,26.78227612,27.09237296,27.53373066,28.03536441,28.57259505,28.90779734,16.20069096,16.58109364,16.94431525,17.40458363,17.6372997,18.28590115,18.93927536,19.70688601,20.43113044,20.61844174,20.80762616,20.99870242,21.19168944,21.38660634,21.5834724,21.78230713
OCCIDENTAL15,ZOQUIPAN,0,0,0,0,0,0,21.34691113,21.89310728,22.3714809,23.05647674,23.35675015,24.20443887,25.05467024,26.05189827,27.12698676,27.91070618,29.55031405,30.7,31,31.3,31.71074627,32.03243128
OCCIDENTAL16,ALAMEDA,19.11078394,19.44386648,19.93156318,20.4634414,21.02239076,21.4327973,22.12425844,22.88838401,23.63139622,24.4,24.9,25.4,25.9,26.4,26.9,27.4,27.9,28.4,28.9,29.4,29.9,30.4085034
OCCIDENTAL17,ALAMEDA,23.41111866,23.683908,24.14595186,24.66109962,25.2080452,25.57679686,26.28016329,27.06721547,27.82656797,28.74603951,29.28888158,30.5228267,31.76833468,32.4,32.9,33.4,33.9,34.4,34.9,35.4,35.9,36.40706215
OCCIDENTAL18,MOJONERA,18.46831527,18.79566427,19.35014715,19.94778665,20.49411323,20.9735994,21.72862141,22.5566998,23.36572868,24.31385142,25.02862679,26.25684687,27.50345945,29.01722729,30.55079805,31.86553662,34.18592714,35.8,36.6,37.4,38.21748634,39.05284123
OCCIDENTAL19,MOJONERA,22.16188223,22.75634226,20.51291452,21.05399773,21.62289297,22.03899859,22.74406996,23.52371312,24.28152348,25.10872718,25.60740243,26.71098594,27.82589076,29.11333961,30.41687915,31.39861591,28.13089696,30.25085235,33.08148262,33.84,34.34,34.84738771
OCCIDENTAL20,MEXICO,27.34969022,27.90363261,28.58396835,29.23238343,29.9187386,30.10778964,30.78535536,31.55769222,32.29432986,33.2,33.6,34,34.4,34.8,35.2,35.6,36,36.5,31.9,32.1,32.30433604,32.51305513
OCCIDENTAL21,MEXICO,27.02345137,27.19177946,27.6712568,28.21142825,28.69418615,29.06718525,29.82016548,30.66709876,31.4815988,32.47604157,33.04416483,34.3,34.8,35.4,35.9,36.5,37.1,37.7,31.3,31.6,31.90939948,32.22834568
OCCIDENTAL22,EXPERIENCIA,11.32553387,11.37826201,11.45353841,11.62263994,11.80624367,11.90634544,12.16175287,12.45432641,12.73252458,13.08211186,13.33180061,13.8215062,14.31294983,14.88868015,15.5092619,16.04618726,16.99440835,24.60156107,26.79653616,27.319,27.52050943,27.72350523
OCCIDENTAL23,EXPERIENCIA,19.28401713,19.55380192,19.91039497,20.38001703,20.87620523,21.22484747,21.85144432,22.61946195,23.29523818,24.10614506,24.60195087,25.75424855,26.84523116,28.10351356,29.53827847,30.58608981,32.67154153,28.801627,31.61901011,32.6,33.3156051,34.04691849
OCCIDENTAL24,PINAR,32.25248156,21.70466938,22.31829729,22.98161729,23.67577312,24.2026771,25.04736771,25.97570163,26.8815068,27.94665887,28.64882096,22.95958545,24.18925639,25.58310039,26.77310026,27.47310026,28.17310026,28.87310026,29.57310026,30.27310026,30.97310026,31.68928625
OCCIDENTAL25,PINAR,0,10.90682577,11.17070592,11.45931695,11.76302689,11.89740146,12.27423814,12.6912371,13.09637215,13.57815961,13.97366236,21.40267983,22.40355019,23.45083987,24.4,24.9,25.4,25.9,26.5,27,27.50943396,28.02847989
