CLAVE,NOMBRE SUBESTACION,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
OCCIDENTAL1,JABIL CIRCUIT DE MEXICO S DE RL DE CV,5.153400749,5.287569764,5.378797998,5.464175744,5.54955349,5.54955349,5.54955349,5.54955349,5.54955349,5.54955349,5.54955349,5.687950986,5.815516905,5.948908172,6.084135317,6.176415572,6.314659877,6.448936564,6.5,6.5,6.5,6.5
OCCIDENTAL2,NYPRO KANAAK GUAD SA DE CV,1.828991375,1.844869746,1.937113233,2.033968895,2.075201753,2.075201753,2.075201753,2.075201753,2.075201753,2.075201753,2.075201753,2.126954155,2.174656194,2.224536566,2.275103446,2.309610754,2.361305872,2.411517338,2.462655407,2.478,2.478,2.478
OCCIDENTAL3,PARQUE DE TECNOLOGIA ELEC SA DE CV,11.26986247,11.44061796,11.61137346,11.78212895,11.95288444,12.12363993,12.29439542,12.46515092,12.63590641,12.8066619,12.97741739,13.56357543,13.86777108,14.18585795,14.50832268,14.72837559,15.05803509,15.37823335,15.5,15.5,15.5,15.5
OCCIDENTAL4,TRATADORA DE AGUAS DE ZAPOPAN (RENOVA ATLATEC),5.936457452,6.219145902,6.457546495,7.103301145,7.813631259,8.594994385,9.174182501,9.174182501,9.174182501,9.174182501,9.174182501,9.402972778,9.613856955,9.736,9.736,10.56782681,10.76511225,10.9623977,11.15968314,11.35696859,11.55425403,11.55425403
OCCIDENTAL5,UNIVERSIDAD AUTONOMA DE GUADALAJARA,1.235415985,1.305195388,1.387314487,1.451421682,1.451421682,1.451421682,1.451421682,1.451421682,1.451421682,1.451421682,1.451421682,1.48761795,1.520981344,1.555868291,1.591235391,1.615370227,1.651526429,1.686644948,1.7,1.7,1.7,1.7
OCCIDENTAL6,EGISMEX S. DE R.L. DE C.V. (LINEA 3 DEL TREN LIGERO TUZANIA),0.186021718,0.793692662,0.967312932,1.096287989,1.225263047,1.343490183,1.55018098,1.756871777,1.963562575,2.170253372,2.376944169,2.648066927,2.924052661,3.212686632,3.512316643,3.726615814,3.810027205,3.891044685,3.973557262,4.013763303,4.033730586,4.053865629
OCCIDENTAL7,AMORTIGUAMIENTO OC,0,0,0,0,0,0,1.768522082,3.537044163,5.305566245,7.074088326,8.842610408,10.87575813,12.97295189,15.16630191,17.44993522,19.68289403,22,24,26,28,30,32
OCCIDENTAL8,ZAPOPAN,35.51714234,36.02940881,32.44354348,32.87043221,33.29732094,33.72420967,34.1510984,34.57798713,35.00487586,35.43176459,35.85865332,37.19044875,38.47188106,39.81192392,41.18491599,42.28469122,43.71687607,45.14255595,46,46.5,47,47.50537634
OCCIDENTAL9,ZAPOPAN,38.11094464,38.73280154,35.53468031,35.97886382,36.42304732,36.86723082,37.31141433,37.75559783,38.19978134,38.64396484,39.08814834,40.51820859,41.89239751,43.32943653,44.80134743,45.97522271,47,47.5,48,48.5,49,49.50515464
OCCIDENTAL10,GUADALAJARA NORTE,28.71854658,29.00573204,29.29578936,29.58874726,29.88463473,30.18348107,30.48531589,30.71395575,30.94431042,31.17639275,31.4102157,32.43499065,33.41114115,34.43382806,35.48068214,36.28897155,37.37947258,38.4606275,39.05590198,39.34882125,39.6439374,39.94126694
