CLAVE,NOMBRE SUBESTACION,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
OCCIDENTAL1,JABIL CIRCUIT DE MEXICO S DE RL DE CV,2.436244703,2.43111823,2.435804679,2.443074127,2.447018921,2.447018921,2.447018921,2.447018921,2.447018921,2.447018921,2.447018921,2.447018921,2.447018921,2.447018921,2.447018921,2.447018921,2.447018921,2.447018921,2.447018921,2.447018921,2.447018921,2.447018921
OCCIDENTAL2,NYPRO KANAAK GUAD SA DE CV,0.307849478,0.302005916,0.312328781,0.323784507,0.325791226,0.325791226,0.325791226,0.325791226,0.325791226,0.325791226,0.325791226,0.325791226,0.325791226,0.325791226,0.325791226,0.325791226,0.325791226,0.325791226,0.325791226,0.325791226,0.325791226,0.325791226
OCCIDENTAL3,PARQUE DE TECNOLOGIA ELEC SA DE CV,9.081508341,8.966270383,8.962995897,8.979416887,8.983889151,9.074640394,9.195654681,9.299029049,9.436306507,9.565685484,9.907974046,10.23487584,10.23487584,10.23487584,10.23487584,10.23487584,10.23487584,10.23487584,10.23487584,10.23487584,10.23487584,10.23487584
OCCIDENTAL4,TRATADORA DE AGUAS DE ZAPOPAN (RENOVA ATLATEC),1.27517138,1.299256568,1.328736832,1.443066743,1.565475963,1.714919819,1.829130451,1.829130451,1.829130451,1.829130451,1.829130451,1.829130451,1.829130451,1.829130451,1.829130451,2.234647064,2.327637718,2.417043675,2.544150535,2.668202928,2.815692091,2.815692091
OCCIDENTAL5,UNIVERSIDAD AUTONOMA DE GUADALAJARA,0.304435762,0.312810239,0.327482131,0.338268106,0.338268106,0.338268106,0.338268106,0.338268106,0.338268106,0.338268106,0.338268106,0.338268106,0.338268106,0.338268106,0.338268106,0.338268106,0.338268106,0.338268106,0.338268106,0.338268106,0.338268106,0.338268106
OCCIDENTAL6,EGISMEX S. DE R.L. DE C.V. (LINEA 3 DEL TREN LIGERO TUZANIA),0.164022366,0.680635763,0.817027453,0.914216534,1.007676317,1.100350243,1.268697058,1.434102463,1.604502641,1.773742797,1.985709073,2.186439178,2.39843461,2.609087868,2.862226966,3.084400916,3.084400916,3.084400916,3.084400916,3.084400916,3.084400916,3.084400916
OCCIDENTAL7,AMORTIGUAMIENTO OC,0,0,0,0,0,0,0.981267355,1.957410587,2.939197483,3.919692684,5.008163115,6.087925363,7.214111249,8.350286402,9.640633246,11.04451095,12.42260696,13.81921668,15.47952141,17.1793886,19.09227777,20.92536685
OCCIDENTAL8,ZAPOPAN,16.66959304,16.44625787,14.58631196,14.5907424,14.57634262,14.70231716,14.87742485,15.02406257,15.22550801,15.41418428,15.9455012,16.34509399,16.79707549,17.21000769,17.86471745,18.62888768,19.26251529,19.8606748,20.76119902,21.62783481,22.67486794,23.54920682
OCCIDENTAL9,ZAPOPAN,24.78593227,24.49951198,22.13799026,22.13033476,22.09449692,22.27168563,22.52336962,22.73199701,23.02357134,23.29582026,24.08562167,24.67600235,25.34510133,25.9549086,26.92883756,28.06701107,29.00778983,29.89458391,31.2357643,32.52506172,34.08468526,35.3834554
OCCIDENTAL10,GUADALAJARA NORTE,19.99022584,19.63640822,19.53397747,19.47900708,19.40240161,19.51558589,19.69618207,19.79209157,19.96146086,20.11508588,20.7149257,21.1416093,21.63464751,22.07605501,22.82538913,23.71082598,24.4267286,25.09530527,26.14264552,27.14313958,28.36559855,29.36456824
OCCIDENTAL11,TUZANIA,32.06637252,32.23169484,17.69024133,18.00620365,18.29075971,18.74605517,19.26256504,19.74124325,20.29149009,20.8250697,21.82779729,22.6599689,23.57281142,24.43884967,25.6592366,27.05311751,28.27284666,29.45288516,31.09725322,32.71023494,34.61688978,36.29043904
OCCIDENTAL12,TUZANIA,0,0,14.66888823,14.62760865,14.57008237,14.65507722,14.79069452,14.8995972,15.06438744,15.21799248,15.71068687,16.07408108,16.48975696,16.86794661,17.48377702,18.20707038,18.80334065,19.36593674,20.22422457,21.05032201,22.05296229,22.88626494
OCCIDENTAL13,ZOQUIPAN,21.2498807,20.835122,20.6867198,20.58765698,20.46479506,20.54084849,14.44922041,14.62766632,14.86266408,15.03516095,15.59959573,16.0402614,16.53736549,17.00124568,17.71005529,18.53491262,19.23760427,19.91221961,20.89863548,21.86096775,23.01663694,24.0056713
OCCIDENTAL14,ZOQUIPAN,18.10175023,17.94386825,17.9514168,17.99802337,18.02032012,18.21544138,10.10264088,10.1862212,10.30830647,10.42306567,10.77061471,11.03020483,11.32631487,11.59733889,12.01075143,12.4973249,12.89606835,13.27117482,13.84823702,14.40244661,15.07656943,15.63405752
OCCIDENTAL15,ZOQUIPAN,0,0,0,0,0,0,14.61806623,14.7693316,14.94553747,15.16276083,15.66297722,16.03303475,16.45384754,16.83577924,17.45336368,18.1766066,18.77126173,19.3303794,20.182534,21.00021918,22.06849771,22.90566068
OCCIDENTAL16,ALAMEDA,9.294745618,9.266966161,9.35106234,9.453294743,9.540713199,9.718281505,9.92786862,10.11814696,10.3451931,10.56367525,11.01896989,11.38636166,11.79282211,12.17442615,12.73058967,13.3699641,13.92058386,14.44952959,15.20355704,15.93896755,16.81399298,17.5703872
OCCIDENTAL17,ALAMEDA,12.32094187,12.21436937,12.25819875,12.32763312,12.37942981,12.54930022,12.76080564,12.94768629,13.1817054,13.4047436,13.92707265,14.33641677,14.7934129,15.21770971,15.85812551,16.59915031,17.22711918,17.82598447,18.69960809,19.54680726,20.56145457,21.42553295
OCCIDENTAL18,MOJONERA,9.673013998,9.646908451,9.776409731,9.923726174,10.01620948,10.24139503,10.50013789,10.73833485,11.01549658,11.28358347,11.84423103,12.27357929,12.74600393,13.23298154,13.87101012,14.64438594,15.3245127,15.98393765,16.89638637,17.79302708,18.85936969,19.80178328
OCCIDENTAL19,MOJONERA,15.36525643,15.46078598,13.71895799,13.86478894,13.98900094,14.24546532,14.5488828,14.82401652,15.15302416,15.42469619,16.04109488,16.52788238,17.07003585,17.5748835,18.28095227,19.10113029,16.69250535,17.28489629,18.14434192,18.97891896,19.97690596,20.82978437
OCCIDENTAL20,MEXICO,8.363560713,8.361717464,8.431831335,8.4907988,8.537324958,8.583596382,8.685828821,8.77143975,8.889048856,8.999202984,9.309399664,9.542692361,9.806570954,10.04765155,10.42988819,10.87603071,11.24595904,11.62703506,10.50700157,10.89578782,11.37368619,11.76209859
OCCIDENTAL21,MEXICO,8.263796569,8.148400617,8.162595457,8.194253531,8.187898387,8.286924717,8.413508621,8.523899884,8.665343761,8.799553616,9.129960383,9.413317783,9.700510059,9.994134218,10.4013098,10.90359937,11.33246797,11.74286483,10.08066182,10.48811116,10.98539424,11.40044076
OCCIDENTAL22,EXPERIENCIA,9.023170711,8.883259776,8.80239298,8.795302801,8.777118542,8.843630366,8.939741433,9.018775591,9.130724269,9.23500426,9.596759506,9.827656956,10.08978303,10.3281836,10.71131061,11.21728463,11.58807546,16.15322151,16.88893389,17.53310582,18.32050084,18.96337465
OCCIDENTAL23,EXPERIENCIA,18.43919652,18.32194762,18.36474684,18.50949406,18.62669368,18.9208514,19.27759823,19.65864592,20.04942184,20.42353909,21.2544241,21.97796572,22.7124414,23.39765659,24.48390339,25.66160622,26.73738222,22.69642725,23.91750316,25.18884466,26.70085516,28.037668
OCCIDENTAL24,PINAR,17.76136691,11.7128442,11.85591002,12.02096574,12.16626161,12.42591189,12.7263433,13.00191683,13.32468875,13.63646792,14.25460917,11.28421669,11.786584,12.26686777,12.92680928,13.67677764,14.34116145,14.98736293,15.87232902,16.74426898,17.76972834,18.68078749
OCCIDENTAL25,PINAR,0,5.885828008,5.934094458,5.994010551,6.04466269,6.108252474,6.236430519,6.352490939,6.491640663,6.625412319,6.952785108,10.51902603,10.91647143,11.24446793,11.78100942,12.39582573,12.92954973,13.4440949,14.22294975,14.93389374,15.78257146,16.52274754
OCCIDENTAL26,ACUEDUCTO,11.4154728,11.45063441,11.62111017,11.81230678,11.98332345,12.26647659,12.58975715,12.75576986,12.96825063,13.16990621,13.66521876,14.04906123,14.47910057,14.87664018,15.48477559,16.19015152,16.7843132,17.34936519,18.18086131,18.98549303,19.95150703,20.76965711
OCCIDENTAL27,ACUEDUCTO,10.02307053,10.12798445,10.34947662,10.58750202,10.86639257,11.18430028,11.53850493,11.93015125,12.30457171,12.66893604,13.38126023,13.93002045,14.59289485,15.16534202,16.02500404,16.93069005,21.97029883,22.75810175,23.89794729,25.00555416,26.32901334,27.4620201
OCCIDENTAL28,ANDARES,14.18301397,14.16484843,14.38971018,14.6398497,14.86463216,15.22828763,15.71247747,16.09500542,16.60656148,17.10455327,18.06145829,18.8085595,19.69858415,20.55314918,21.71069443,0,0,0,0,0,0,0
OCCIDENTAL29,ANDARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.02229825,24.27396193,25.50027705,27.13973498,28.85370657,30.87585166,32.72925167
OCCIDENTAL30,ANDARES,5.397360976,5.44549583,5.55665926,5.676913197,5.786722572,5.99703234,6.226610867,6.443750713,6.684156068,6.919144728,7.359071064,7.745106132,8.161651308,8.564876531,9.147305059,9.800148002,10.39793193,10.98748845,11.81517662,12.64424317,13.62082378,14.53495542
OCCIDENTAL31,AMERICAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.908633776,4.195843089,4.526258937,4.829658507
OCCIDENTAL32,MIRASIERRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCCIDENTAL33,UVM EDUCACION SC,0.420409826,0.429323969,0.443998692,0.460283863,0.47663107,0.498398101,0.539543578,0.539543578,0.539543578,0.539543578,0.539543578,0.539543578,0.539543578,0.539543578,0.539543578,0.539543578,0.539543578,0.539543578,0.539543578,0.539543578,0.539543578,0.539543578
OCCIDENTAL34,PACTIV FOODSERVICE MEX S DE RL DE CV (JAGUAR),4.874129629,4.689382784,4.689382784,4.689382784,4.689382784,4.689382784,4.689382784,4.689382784,4.689382784,4.689382784,4.689382784,4.689382784,4.689382784,4.689382784,4.689382784,4.689382784,4.689382784,4.689382784,4.689382784,4.689382784,4.689382784,4.689382784
OCCIDENTAL35,FLEXTRONICS TECHNOLOGIES S DE RL DE CV,5.454563776,5.454563776,5.454563776,5.454563776,5.454563776,5.454563776,5.454563776,5.454563776,5.454563776,5.454563776,5.454563776,5.454563776,5.454563776,5.454563776,5.454563776,5.454563776,5.454563776,5.454563776,5.454563776,5.454563776,5.454563776,5.454563776
