CLAVE,NOMBRE SUBESTACION,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
OCCIDENTAL1,JABIL CIRCUIT DE MEXICO S DE RL DE CV,3.579982893,3.635311565,3.686175788,3.741954636,3.799651169,3.799651169,3.799651169,3.799651169,3.799651169,3.799651169,3.799651169,3.799651169,3.799651169,3.799651169,3.799651169,3.799651169,3.799651169,3.799651169,3.799651169,3.799651169,3.799651169,3.799651169
OCCIDENTAL2,NYPRO KANAAK GUAD SA DE CV,1.633055707,1.630247503,1.706271445,1.790277994,1.826199916,1.826199916,1.826199916,1.826199916,1.826199916,1.826199916,1.826199916,1.826199916,1.826199916,1.826199916,1.826199916,1.826199916,1.826199916,1.826199916,1.826199916,1.826199916,1.826199916,1.826199916
OCCIDENTAL3,PARQUE DE TECNOLOGIA ELEC SA DE CV,6.887536456,6.919795663,7.000558035,7.098325163,7.199737555,7.273010657,7.42536732,7.598119446,7.765409123,7.966224324,8.104368699,8.44548877,8.44548877,8.44548877,8.44548877,8.44548877,8.44548877,8.44548877,8.44548877,8.44548877,8.44548877,8.44548877
OCCIDENTAL4,TRATADORA DE AGUAS DE ZAPOPAN (RENOVA ATLATEC),5.325493649,5.521559413,5.714836712,6.281734294,6.908504972,7.568573087,8.133273144,8.133273144,8.133273144,8.133273144,8.133273144,8.133273144,8.133273144,8.133273144,8.133273144,10.16071276,10.69764808,10.9623977,11.15968314,11.35696859,11.55425403,11.55425403
OCCIDENTAL5,UNIVERSIDAD AUTONOMA DE GUADALAJARA,1.037046896,1.08432433,1.148851442,1.201062508,1.201062508,1.201062508,1.201062508,1.201062508,1.201062508,1.201062508,1.201062508,1.201062508,1.201062508,1.201062508,1.201062508,1.201062508,1.201062508,1.201062508,1.201062508,1.201062508,1.201062508,1.201062508
OCCIDENTAL6,EGISMEX S. DE R.L. DE C.V. (LINEA 3 DEL TREN LIGERO TUZANIA),0.12996057,0.54878068,0.666681989,0.755021704,0.843676481,0.921336663,1.070276109,1.22419698,1.379448048,1.54322656,1.696885585,1.884873554,2.078422479,2.281866251,2.501896969,2.660745136,2.660745136,2.660745136,2.660745136,2.660745136,2.660745136,2.660745136
OCCIDENTAL7,AMORTIGUAMIENTO OC,0,0,0,0,0,0,1.608678783,3.247111039,4.91063624,6.627277374,8.316861907,10.19901486,12.14878562,14.19210894,16.37627031,18.51497068,21.04975137,23.80462004,26,28,30,32
OCCIDENTAL8,ZAPOPAN,32.71989746,32.84955924,29.48532862,29.85149987,30.23304296,30.49661234,31.09167114,31.77144065,32.42762237,33.22293476,33.75619733,34.90684878,36.05936084,37.28730082,38.68475991,39.81051355,41.60845018,43.6120142,46,46.5,47,47.50537634
OCCIDENTAL9,ZAPOPAN,35.16746588,35.37274508,32.34800834,32.72846446,33.12579348,33.39394899,34.02503211,34.74849456,35.44580834,36.29479375,36.85717818,38.09315157,39.33030025,40.64885017,42.15122883,43.35666821,45.29310175,47.4518924,48,48.5,49,49.50515464
OCCIDENTAL10,GUADALAJARA NORTE,20.97719183,20.96849286,21.11027398,21.30582204,21.5145118,21.64163753,22.0059977,22.37607601,22.72889639,23.17832511,23.44452483,24.13814977,24.83000957,25.57078509,26.42437091,27.08945398,28.20827722,29.46099023,31.12202183,33.06466684,34.72262432,37.81551444
OCCIDENTAL11,TUZANIA,44.76575989,45.78832794,25.43334153,26.20113563,26.98200563,27.65571517,28.63120386,29.6915736,30.73735166,31.92369119,32.86506119,34.41848283,35.9919124,37.65909097,39.51815645,41.11850967,43.43574469,45.99908356,48.32,49.32,50.32,51.34027575
OCCIDENTAL12,TUZANIA,0,0,21.08952825,21.28488413,21.49336881,21.62036961,21.98437171,22.40955553,22.81938744,23.32834892,23.65482318,24.4151034,25.17722123,25.99269377,26.92701448,27.67324687,28.88768555,30.24543563,31.42510768,31.73935876,32.05675235,32.37731987
OCCIDENTAL13,ZOQUIPAN,25.31763823,25.26028557,25.38235208,25.56674545,25.76442474,25.86210962,18.32907183,18.77605402,19.21408616,19.67004191,20.04510996,20.79286917,21.5491643,22.35838253,23.27788017,24.04258476,25.22314793,26.54065122,28.24705946,30.23503663,31.98891434,33.69627323
OCCIDENTAL14,ZOQUIPAN,21.56687701,21.75495955,22.02616877,22.35081354,22.68692064,22.93428833,12.81536478,13.07502067,13.32632478,13.6361785,13.83998406,14.29837085,14.75885746,15.25169061,15.78678484,16.2109204,16.90852121,17.68891811,18.71758446,19.91945213,20.95367318,21.78230713
OCCIDENTAL15,ZOQUIPAN,0,0,0,0,0,0,18.54325551,18.95789541,19.32122284,19.83697693,20.12655367,20.78350132,21.44033547,22.14077719,22.94048785,23.57780766,24.61170866,25.76512653,27.27916081,29.04456946,30.67117428,32.03243128
OCCIDENTAL16,ALAMEDA,16.76487734,17.00888966,17.36990177,17.77247456,18.18402708,18.52384859,19.06550254,19.66194345,20.24686801,20.92225175,21.43543366,22.34519412,23.26365955,24.23842057,25.33192595,26.25530286,27.63133891,28.4,28.9,29.4,29.9,30.4085034
OCCIDENTAL17,ALAMEDA,22.2232095,22.41864891,22.77000201,23.17631597,23.59445067,23.92000448,24.50588155,25.16040504,25.79828591,26.54922776,27.09262707,28.1345372,29.18291465,30.2973827,31.55524382,32.59662594,33.9,34.4,34.9,35.4,35.9,36.40706215
OCCIDENTAL18,MOJONERA,16.49491445,16.73986391,17.16884912,17.63863014,18.04837087,18.45551823,19.06393802,19.72821451,20.38208973,21.12836092,21.7832927,22.77171657,23.77167111,24.90800265,26.09475101,27.18838031,28.75785776,30.49279513,32.68667182,35.22187835,37.51512218,39.05284123
OCCIDENTAL19,MOJONERA,20.42690917,20.91558076,18.78267784,19.21223713,19.65150884,20.0132841,20.59310596,21.23202042,21.85840855,22.51697128,22.9998635,23.90651904,24.81959511,25.7898161,26.81133736,27.64686113,24.42114239,25.70720323,27.36482569,29.28928286,30.98004258,33.98320719
OCCIDENTAL20,MEXICO,28.11376225,28.60215511,29.18926791,29.74939473,30.32465879,30.49129835,31.08625347,31.76590453,32.42197191,33.2,33.6,34,34.4,34.8,35.2,35.6,36,36.5,31.9,32.1,32.30433604,32.51305513
OCCIDENTAL21,MEXICO,27.7997848,27.89392983,28.27897265,28.73247542,29.10587216,29.4600911,30.13480075,30.89318922,31.63034951,32.50520941,33.12524624,34.3,34.8,35.4,35.9,36.5,37.1,37.7,31.3,31.6,31.90939948,32.22834568
OCCIDENTAL22,EXPERIENCIA,14.59773879,14.62427319,14.6656294,14.83129388,15.0046108,15.11944579,15.39858221,15.71942235,16.02832059,16.405672,16.74477945,17.298669,17.85277188,18.44349869,19.11726873,19.419,19.619,26.819,27.119,27.319,27.52050943,27.72350523
OCCIDENTAL23,EXPERIENCIA,19.83434577,20.0550172,20.34390744,20.75258806,21.17181139,21.50777267,22.07792104,22.78201195,23.40098395,24.12333778,24.65776078,25.72169977,26.72004104,27.78057273,29.05449704,30.05271014,31.65019414,27.31232007,29.18638767,31.45274523,33.3156051,34.04691849
OCCIDENTAL24,PINAR,33.98953856,22.80902724,23.36562033,23.97784081,24.60211193,25.12904754,25.92996204,26.80642224,27.66829094,28.65505773,29.420673,23.49506148,24.66915378,25.91167643,26.77310026,27.47310026,28.17310026,28.87310026,29.57310026,30.27310026,30.97310026,31.68928625
OCCIDENTAL25,PINAR,0,11.46177726,11.69490978,11.95606359,12.22326733,12.35278088,12.70674559,13.09711149,13.47968466,13.92234218,14.35013858,21.90184486,22.84802046,23.75203027,24.4,24.9,25.4,25.9,26.5,27,27.50943396,28.02847989
OCCIDENTAL26,ACUEDUCTO,14.71209496,15.0170864,15.42416891,15.86781629,16.31940253,16.70626345,17.275369,17.71127714,18.13503463,18.637764,18.99440135,19.69990842,20.4089008,21.041,21.341,21.641,21.941,22.241,22.541,22.841,23.141,23.44494028
OCCIDENTAL27,ACUEDUCTO,12.24625064,12.59217927,13.02249752,13.48334645,14.0292387,14.44076004,15.01001965,15.70402198,16.312677,16.99702882,17.63306384,18.51784297,19.50029693,20.4525523,21.60017762,22.52168788,29.54064189,31.10739186,32.6,33.1,33.6,34.10755287
OCCIDENTAL28,ANDARES,17.60049307,17.88725712,18.39000676,18.93628373,19.49201905,19.97037639,20.76014275,21.5184021,22.36106064,23.30765331,24.17338796,25.3949946,26.5,27.3,28.1,0,0,0,0,0,0,0
OCCIDENTAL29,ANDARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9,29.8,30.7,31.6,32.6,33.63164557,34.69593815
OCCIDENTAL30,ANDARES,9.48038162,9.733237022,10.05151811,10.39341907,10.74047215,11.13165201,11.6446233,12.19398547,12.73935132,13.34526739,13.94105875,14.80157786,15.67905217,16.60574662,17.72533024,18.60425,19.30425,20.00425,20.80425,21.60425,22.43690306,23.30164755
OCCIDENTAL31,AMERICAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12.5,13,13.5
OCCIDENTAL32,MIRASIERRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCCIDENTAL33,UVM EDUCACION SC,0.52895159,0.549672131,0.575305197,0.603629767,0.633682588,0.662671545,0.722768073,0.722768073,0.722768073,0.722768073,0.722768073,0.722768073,0.722768073,0.722768073,0.722768073,0.722768073,0.722768073,0.722768073,0.722768073,0.722768073,0.722768073,0.722768073
OCCIDENTAL34,PACTIV FOODSERVICE MEX S DE RL DE CV (JAGUAR),9.566739754,9.366084767,9.366084767,9.366084767,9.366084767,9.366084767,9.366084767,9.366084767,9.366084767,9.366084767,9.366084767,9.366084767,9.366084767,9.366084767,9.366084767,9.366084767,9.366084767,9.366084767,9.366084767,9.366084767,9.366084767,9.366084767
OCCIDENTAL35,FLEXTRONICS TECHNOLOGIES S DE RL DE CV,8.20794092,8.20794092,8.20794092,8.20794092,8.20794092,8.20794092,8.20794092,8.20794092,8.20794092,8.20794092,8.20794092,8.20794092,8.20794092,8.20794092,8.20794092,8.20794092,8.20794092,8.20794092,8.20794092,8.20794092,8.20794092,8.20794092
