CLAVE,NOMBRE SUBESTACION,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
OCCIDENTAL1,JABIL CIRCUIT DE MEXICO S DE RL DE CV,4.866181797,4.934577466,5.018383468,5.106423577,5.198663323,5.198663323,5.198663323,5.198663323,5.198663323,5.198663323,5.198663323,5.198663323,5.198663323,5.198663323,5.198663323,5.198663323,5.198663323,5.198663323,5.198663323,5.198663323,5.198663323,5.198663323
OCCIDENTAL2,NYPRO KANAAK GUAD SA DE CV,1.508296084,1.503626953,1.578389378,1.660034129,1.697753008,1.697753008,1.697753008,1.697753008,1.697753008,1.697753008,1.697753008,1.697753008,1.697753008,1.697753008,1.697753008,1.697753008,1.697753008,1.697753008,1.697753008,1.697753008,1.697753008,1.697753008
OCCIDENTAL3,PARQUE DE TECNOLOGIA ELEC SA DE CV,8.115310254,8.142081442,8.261412371,8.396688595,8.538832009,8.633764208,8.835507264,9.067719855,9.288640472,9.557572422,9.722417978,10.15660293,10.15660293,10.15660293,10.15660293,10.15660293,10.15660293,10.15660293,10.15660293,10.15660293,10.15660293,10.15660293
OCCIDENTAL4,TRATADORA DE AGUAS DE ZAPOPAN (RENOVA ATLATEC),4.667992009,4.833179637,5.017119922,5.527907094,6.095297305,6.683885237,7.199592555,7.199592555,7.199592555,7.199592555,7.199592555,7.199592555,7.199592555,7.199592555,7.199592555,9.180900181,9.725848224,10.3667159,11.15968314,11.35696859,11.55425403,11.55425403
OCCIDENTAL5,UNIVERSIDAD AUTONOMA DE GUADALAJARA,0.974528603,1.01755139,1.081285779,1.133111754,1.133111754,1.133111754,1.133111754,1.133111754,1.133111754,1.133111754,1.133111754,1.133111754,1.133111754,1.133111754,1.133111754,1.133111754,1.133111754,1.133111754,1.133111754,1.133111754,1.133111754,1.133111754
OCCIDENTAL6,EGISMEX S. DE R.L. DE C.V. (LINEA 3 DEL TREN LIGERO TUZANIA),0.126296058,0.532571543,0.648899343,0.73662858,0.825267453,0.902072171,1.05037977,1.20498115,1.360912278,1.52707978,1.678976546,1.86957494,2.067001429,2.278844838,2.504547815,2.665460949,2.665460949,2.665460949,2.665460949,2.665460949,2.665460949,2.665460949
OCCIDENTAL7,AMORTIGUAMIENTO OC,0,0,0,0,0,0,1.616431929,3.272379462,4.960210609,6.714362028,8.425372843,10.35753598,12.37021886,14.51139206,16.78465712,18.99020464,21.72359396,24,26,28,30,32
OCCIDENTAL8,ZAPOPAN,35.94997036,36.04268233,32.44688415,32.92787462,33.43559454,33.75848469,34.49872119,35.35690739,36.16998295,37.16879183,37.76191408,39.14530807,40.54463399,42.1011473,43.7832732,44.5,45,45.5,46,46.5,47,47.50537634
OCCIDENTAL9,ZAPOPAN,37.09932939,37.26444896,34.17849648,34.66263343,35.17481816,35.49257482,36.24898555,37.12887061,37.96089682,38.98730055,39.58776167,41.01609945,42.46009911,44.06762366,45.80542766,46.5,47,47.5,48,48.5,49,49.50515464
OCCIDENTAL10,GUADALAJARA NORTE,20.6502611,20.61324514,20.81385335,21.0565605,21.31818759,21.46411857,21.87719256,22.31068407,22.71449788,23.23347097,23.49814138,24.25295401,25.01404008,25.86834484,26.79566699,27.48965612,28.80207048,30.37354492,32.55538351,35.17617624,37.1953923,39.94126694
